date,open,high,low,close,volume
2020-08-06,,24.5,24.12,24.24,45024806.0
2020-08-07,,25.22,24.0,25.07,46611557.0
2020-08-10,,25.48,24.2201,24.7,50962432.0
2020-08-11,,26.14,25.2,25.32,55593481.0
2020-08-12,,26.14,24.72,25.19,43365359.0
2020-08-13,,25.23,24.68,25.02,27709799.0
2020-08-14,,25.49,24.6355,25.3,27152338.0
2020-08-17,,25.14,24.44,24.47,37113009.0
2020-08-18,,24.45,24.01,24.04,30065374.0
2020-08-19,,24.39,23.84,24.07,33993435.0
2020-08-20,,23.94,23.6,23.75,36593007.0
2020-08-21,,23.91,23.52,23.64,28216325.0
2020-08-24,,24.51,23.61,24.49,37325370.0
2020-08-25,,24.89,24.3,24.61,35548173.0
2020-08-26,,24.58,24.04,24.04,28617084.0
2020-08-27,,24.78,23.97,24.59,37025891.0
2020-08-28,,24.77,24.3453,24.69,26309821.0
2020-08-31,,24.5118,24.09,24.15,27936986.0
2020-09-01,,24.335,23.74,24.05,31082171.0
2020-09-02,,24.66,23.93,24.57,38772294.0
2020-09-03,,25.36,24.3,24.52,42808347.0
2020-09-04,,25.19,24.25,24.79,49250894.0
2020-09-08,,24.55,23.735,23.97,49665941.0
2020-09-09,,24.07,23.7,23.84,49837953.0
2020-09-10,,24.67,23.86,23.95,54590221.0
2020-09-11,,24.32,23.71,24.27,35231138.0
2020-09-14,,24.97,24.23,24.81,50075330.0
2020-09-15,,25.04,24.56,24.88,42482686.0
2020-09-16,,26.0,24.75,25.71,52118735.0
2020-09-17,,25.425,24.9,25.11,52002114.0
2020-09-18,,25.4,24.9,25.13,117835125.0
2020-09-21,,24.521,23.72,24.04,56781285.0
2020-09-22,,24.36,23.53,23.65,40195474.0
2020-09-23,,24.13,22.83,22.83,45978542.0
2020-09-24,,23.72,22.555,23.32,43715652.0
2020-09-25,,23.71,23.01,23.64,30551739.0
2020-09-28,,24.27,23.76,23.82,41748025.0
2020-09-29,,23.72,23.07,23.26,38679216.0
2020-09-30,,23.87,23.25,23.51,43340784.0
2020-10-01,,23.81,23.16,23.56,39218325.0
2020-10-02,,24.09,23.08,23.99,26545811.0
2020-10-05,,24.6,24.22,24.45,22903085.0
2020-10-06,,25.0,24.0402,24.18,31331198.0
2020-10-07,,24.93,24.39,24.81,35047200.0
2020-10-08,,25.325,24.67,25.3,26715902.0
2020-10-09,,25.51,25.01,25.3,28496407.0
2020-10-12,,25.74,25.15,25.68,26189580.0
2020-10-13,,25.5,24.7,24.74,30281890.0
2020-10-14,,24.43,23.23,23.25,75990959.0
2020-10-15,,23.09,22.75,22.95,61013572.0
2020-10-16,,23.23,22.61,22.86,44377196.0
2020-10-19,,22.905,22.51,22.54,37794824.0
2020-10-20,,23.13,22.69,22.81,35207152.0
2020-10-21,,22.95,22.6,22.7,29943423.0
2020-10-22,,23.32,22.61,23.25,32535714.0
2020-10-23,,23.59,23.115,23.28,25060799.0
2020-10-26,,23.02,22.6,22.7,34385886.0
2020-10-27,,22.61,21.815,21.82,50126553.0
2020-10-28,,21.48,20.8,21.18,55557063.0
2020-10-29,,21.38,20.76,21.14,46666587.0
2020-10-30,,21.46,20.84,21.45,34840378.0
2020-11-02,,21.98,21.19,21.9,38736703.0
2020-11-03,,22.5,21.99,22.09,38760253.0
2020-11-04,,22.56,21.17,21.88,47593708.0
2020-11-05,,22.5699,21.86,22.33,38757574.0
2020-11-06,,22.57,21.84,21.91,29837988.0
2020-11-09,,24.8671,23.3,24.22,104422058.0
2020-11-10,,24.37,23.8645,24.19,49692435.0
2020-11-11,,24.54,24.005,24.19,38650599.0
2020-11-12,,24.145,23.56,23.81,35140935.0
2020-11-13,,24.18,23.73,24.07,30425494.0
2020-11-16,,25.03,24.39,24.9,37665752.0
2020-11-17,,25.15,24.52,25.04,29919102.0
2020-11-18,,25.95,25.06,25.06,44793789.0
2020-11-19,,26.22,24.971,26.16,44903344.0
2020-11-20,,26.23,25.46,25.48,39326967.0
2020-11-23,,26.44,25.87,26.3,41070051.0
2020-11-24,,28.73,27.3403,28.61,82335787.0
2020-11-25,,28.69,28.0,28.59,39220299.0
2020-11-27,,28.63,28.18,28.46,20281442.0
2020-11-30,,28.56,27.28,27.35,49048147.0
2020-12-01,,28.68,28.04,28.06,42796708.0
2020-12-02,,28.99,27.845,28.87,35830797.0
2020-12-03,,29.49,28.79,29.16,41579150.0
2020-12-04,,29.97,29.34,29.55,47713761.0
2020-12-07,,29.6286,29.07,29.34,32404052.0
2020-12-08,,29.3,28.4,28.94,32766035.0
2020-12-09,,29.24,28.61,29.05,35733214.0
2020-12-10,,29.56,28.54,29.49,32306536.0
2020-12-11,,29.39,28.67,29.08,30074191.0
2020-12-14,,29.775,28.5131,28.64,28732186.0
2020-12-15,,29.77,28.9,29.73,39602154.0
2020-12-16,,29.905,29.48,29.65,35668179.0
2020-12-17,,29.9,29.435,29.47,43036904.0
2020-12-18,,29.6197,28.8,29.01,56823812.0
2020-12-21,,29.89,28.8414,29.55,53509942.0
2020-12-22,,29.72,28.945,28.96,26168117.0
2020-12-23,,30.49,29.27,30.35,38664954.0
2020-12-24,,30.38,29.66,29.84,14443728.0
2020-12-28,,30.48,29.905,29.93,21986364.0
2020-12-29,,30.17,29.75,29.78,19834115.0
2020-12-30,,30.04,29.65,29.75,18763796.0
2020-12-31,,30.235,29.67,30.18,21274436.0
2021-01-04,,30.435,29.4002,29.7,31857876.0
2021-01-05,,30.95,29.82,30.53,37930721.0
2021-01-06,,33.0,31.79,32.69,74433312.0
2021-01-07,,34.2,33.32,33.43,51754550.0
2021-01-08,,33.65,32.67,33.19,32931823.0
2021-01-11,,33.56,32.32,33.24,34200961.0
2021-01-12,,34.52,33.66,33.94,59796191.0
2021-01-13,,34.26,33.63,33.8,36346947.0
2021-01-14,,35.1,34.01,34.75,56431270.0
2021-01-15,,33.5,31.82,32.04,94026878.0
2021-01-19,,33.04,32.28,32.63,44706835.0
2021-01-20,,32.83,32.3,32.46,30416591.0
2021-01-21,,32.43,31.92,32.0,28639163.0
2021-01-22,,32.06,31.15,31.9,24869676.0
2021-01-25,,32.35,31.615,32.24,29032691.0
2021-01-26,,32.53,31.36,31.38,28277325.0
2021-01-27,,31.03,29.92,30.17,45626457.0
2021-01-28,,31.05,30.31,30.81,29187043.0
2021-01-29,,31.19,29.82,29.88,39853393.0
2021-02-01,,30.22,29.68,29.99,24039430.0
2021-02-02,,31.19,30.38,30.75,25646391.0
2021-02-03,,31.77,30.61,31.7,28868599.0
2021-02-04,,32.85,31.8,32.66,31240444.0
2021-02-05,,33.185,32.51,32.56,25447445.0
2021-02-08,,33.57,32.71,33.4,29490266.0
2021-02-09,,33.405,32.91,33.26,23890080.0
2021-02-10,,33.69,33.09,33.2,22920035.0
2021-02-11,,33.34,32.37,32.72,22641153.0
2021-02-12,,33.6201,32.65,33.53,34687326.0
2021-02-16,,34.93,34.0,34.79,37082226.0
2021-02-17,,37.45,34.025,36.59,80978326.0
2021-02-18,,37.357,36.18,36.96,43910812.0
2021-02-19,,37.85,37.03,37.83,39921939.0
2021-02-22,,37.925,37.1,37.26,35131616.0
2021-02-23,,37.77,36.605,37.14,37341591.0
2021-02-24,,38.34,37.14,38.29,43222417.0
2021-02-25,,38.68,37.3,37.56,37747713.0
2021-02-26,,37.41,35.93,36.17,39894074.0
2021-03-01,,37.42,36.74,37.09,28546761.0
2021-03-02,,37.45,36.99,37.14,19953001.0
2021-03-03,,38.66,37.35,37.69,35682500.0
2021-03-04,,38.0,36.36,37.16,43225684.0
2021-03-05,,38.12,36.34,37.43,35047028.0
2021-03-08,,38.875,37.7699,38.67,38649947.0
2021-03-09,,38.8,37.48,38.13,36457902.0
2021-03-10,,39.7,38.28,39.58,38964081.0
2021-03-11,,39.59,38.61,38.88,31171311.0
2021-03-12,,40.02,39.42,39.97,29029058.0
2021-03-15,,40.23,39.17,39.7,26312256.0
2021-03-16,,39.49,38.72,39.35,24927455.0
2021-03-17,,40.435,39.205,39.84,33801506.0
2021-03-18,,41.54,40.15,40.81,57917946.0
2021-03-19,,40.065,39.22,39.63,63269369.0
2021-03-22,,39.31,38.62,38.97,32703794.0
2021-03-23,,39.0466,38.05,38.24,32883167.0
2021-03-24,,39.02,38.11,38.12,24489456.0
2021-03-25,,39.36,37.78,39.3,29039059.0
2021-03-26,,40.23,39.17,39.76,29534749.0
2021-03-29,,39.355,37.9,38.44,38893501.0
2021-03-30,,40.08,38.47,39.39,36535407.0
2021-03-31,,39.63,38.92,39.07,26047536.0
2021-04-01,,39.65,38.92,39.63,23053416.0
2021-04-05,,40.33,39.32,39.48,21637131.0
2021-04-06,,39.9,39.255,39.85,21249135.0
2021-04-07,,40.09,39.63,39.99,19649372.0
2021-04-08,,40.2,39.33,40.03,21162217.0
2021-04-09,,40.79,40.25,40.5,28645982.0
2021-04-12,,40.89,40.4,40.77,20992564.0
2021-04-13,,40.51,39.7,39.79,29639771.0
2021-04-14,,42.1799,39.06,41.99,65317651.0
2021-04-15,,42.26,41.03,42.24,44542426.0
2021-04-16,,44.13,42.58,43.84,58285615.0
2021-04-19,,44.4,43.38,43.88,39616159.0
2021-04-20,,43.4,42.35,42.54,29851486.0
2021-04-21,,43.355,41.765,43.24,27686449.0
2021-04-22,,43.52,42.68,42.7,24906583.0
2021-04-23,,44.18,42.63,43.86,28198266.0
2021-04-26,,44.68,43.99,44.14,25013889.0
2021-04-27,,45.22,44.2,45.09,29420815.0
2021-04-28,,45.665,44.93,45.08,20939944.0
2021-04-29,,46.39,45.52,46.24,26906885.0
2021-04-30,,46.015,44.86,45.05,34502270.0
2021-05-03,,45.65,45.07,45.48,16793958.0
2021-05-04,,45.835,44.67,45.74,26396991.0
2021-05-05,,46.2,45.47,45.94,19950032.0
2021-05-06,,46.69,45.7,46.63,34355453.0
2021-05-07,,46.62,45.55,46.54,25563234.0
