date,open,high,low,close,volume
2020-08-06,,43.9,43.25,43.64,14718934.0
2020-08-07,,43.52,42.81,43.44,19057164.0
2020-08-10,,44.6,43.595,44.51,24733437.0
2020-08-11,,46.42,44.73,44.97,29541246.0
2020-08-12,,44.94,43.63,44.09,22902819.0
2020-08-13,,43.87,42.92,43.01,17641867.0
2020-08-14,,43.28,42.41,43.2,13891923.0
2020-08-17,,43.17,42.47,42.64,15829847.0
2020-08-18,,43.19,42.29,42.43,13309993.0
2020-08-19,,42.655,41.865,41.96,14698181.0
2020-08-20,,41.885,41.3,41.32,16018530.0
2020-08-21,,41.34,40.71,41.01,26471684.0
2020-08-24,,42.5078,41.09,42.22,18530082.0
2020-08-25,,42.065,40.7,40.88,31933961.0
2020-08-26,,40.835,40.0,40.01,27355061.0
2020-08-27,,40.3,39.305,39.74,32546097.0
2020-08-28,,40.92,39.76,40.69,33863787.0
2020-08-31,,40.72,39.895,39.94,25659589.0
2020-09-01,,39.75,39.045,39.43,23101853.0
2020-09-02,,39.715,38.95,39.19,27010507.0
2020-09-03,,40.03,38.88,39.11,29321635.0
2020-09-04,,39.79,38.65,39.08,24981005.0
2020-09-08,,38.68,37.35,38.18,39332827.0
2020-09-09,,38.84,37.92,37.95,26387619.0
2020-09-10,,38.37,36.9,37.0,35452349.0
2020-09-11,,37.31,36.49,36.9,27116512.0
2020-09-14,,37.01,36.49,36.66,26781534.0
2020-09-15,,37.3792,36.21,36.27,24071770.0
2020-09-16,,38.15,36.27,37.81,31318030.0
2020-09-17,,37.98,36.97,37.8,25044496.0
2020-09-18,,37.8235,36.7,37.19,50642438.0
2020-09-21,,36.71,35.68,36.43,35825221.0
2020-09-22,,36.84,35.47,35.53,27576710.0
2020-09-23,,35.79,34.35,34.39,31546313.0
2020-09-24,,34.82,33.76,34.32,27185700.0
2020-09-25,,34.94,33.88,34.64,23872353.0
2020-09-28,,35.9,35.095,35.31,23822484.0
2020-09-29,,35.11,33.99,34.28,21106772.0
2020-09-30,,34.92,34.13,34.33,22551701.0
2020-10-01,,34.1,32.94,33.13,37749716.0
2020-10-02,,33.35,32.21,32.98,33450882.0
2020-10-05,,33.75,33.17,33.74,23402178.0
2020-10-06,,34.42,33.31,33.39,27110688.0
2020-10-07,,33.74,33.21,33.5,24091663.0
2020-10-08,,35.34,33.76,35.26,34724039.0
2020-10-09,,35.95,34.65,34.74,29783681.0
2020-10-12,,34.73,34.23,34.63,18437640.0
2020-10-13,,34.87,34.1,34.22,21484288.0
2020-10-14,,34.83,34.03,34.15,18100878.0
2020-10-15,,34.46,33.265,34.45,23689436.0
2020-10-16,,34.64,33.875,34.1,23798131.0
2020-10-19,,34.37,33.39,33.42,24000480.0
2020-10-20,,33.93,33.33,33.7,23305770.0
2020-10-21,,33.62,33.14,33.16,29008062.0
2020-10-22,,34.96,33.02,34.86,32107014.0
2020-10-23,,35.08,33.86,34.16,27893656.0
2020-10-26,,33.77,32.95,33.35,31381106.0
2020-10-27,,33.2,32.7,32.82,27447265.0
2020-10-28,,32.38,31.52,31.57,42825645.0
